Algorithm,Slots,NumColors,Runs,AvgAttempts,AvgTime
Random,3,4,10,3.3,0.0002
Greedy,3,4,10,3.8,0.0002
fixed_start,3,4,10,3.9,0.0002
Knuth,3,4,10,3.7,0.004
Random,3,4,50,3.38,0.0002
Greedy,3,4,50,3.94,0.0002
fixed_start,3,4,50,3.76,0.0002
Knuth,3,4,50,3.72,0.0042
Random,3,4,100,3.36,0.0002
Greedy,3,4,100,3.88,0.0002
fixed_start,3,4,100,3.78,0.0002
Knuth,3,4,100,3.74,0.0043
Random,4,4,10,3.5,0.0006
Greedy,4,4,10,4.7,0.0009
fixed_start,4,4,10,3.9,0.0006
Knuth,4,4,10,3.5,0.0282
Random,4,4,50,3.52,0.0006
Greedy,4,4,50,4.52,0.0009
fixed_start,4,4,50,4.2,0.0006
Knuth,4,4,50,3.76,0.026
Random,4,4,100,3.79,0.0007
Greedy,4,4,100,4.26,0.0009
fixed_start,4,4,100,4.22,0.0006
Knuth,4,4,100,3.69,0.025
Random,5,4,10,4,0.0028
Greedy,5,4,10,5.5,0.0036
fixed_start,5,4,10,4.7,0.0024
Knuth,5,4,10,3.9,0.2681
Random,5,4,50,4.18,0.0028
Greedy,5,4,50,5.04,0.0038
fixed_start,5,4,50,4.78,0.0025
Knuth,5,4,50,4.16,0.3115
Random,5,4,100,4.11,0.0028
Greedy,5,4,100,4.98,0.0038
fixed_start,5,4,100,4.78,0.0025
Knuth,5,4,100,3.99,0.3054
Random,3,5,10,3.7,0.0003
Greedy,3,5,10,4.5,0.0005
fixed_start,3,5,10,3.8,0.0003
Knuth,3,5,10,4.2,0.017
Random,3,5,50,3.66,0.0003
Greedy,3,5,50,4.62,0.0005
fixed_start,3,5,50,4.2,0.0003
Knuth,3,5,50,4.3,0.0181
Random,3,5,100,3.73,0.0003
Greedy,3,5,100,4.49,0.0005
fixed_start,3,5,100,4.27,0.0003
Knuth,3,5,100,4.18,0.0181
Random,4,5,10,4.5,0.0017
Greedy,4,5,10,5.2,0.0024
fixed_start,4,5,10,4.9,0.0016
Knuth,4,5,10,4.2,0.1693
Random,4,5,50,4.38,0.0017
Greedy,4,5,50,4.9,0.0024
fixed_start,4,5,50,4.82,0.0016
Knuth,4,5,50,4.02,0.1725
Random,4,5,100,4.05,0.0017
Greedy,4,5,100,5.2,0.0023
fixed_start,4,5,100,4.57,0.0016
Knuth,4,5,100,4.2,0.1742
Random,5,5,10,4.9,0.0087
Greedy,5,5,10,5.9,0.0123
fixed_start,5,5,10,5.3,0.0084
Knuth,5,5,10,4.5,2.5154
Random,5,5,50,4.64,0.0088
Greedy,5,5,50,5.38,0.0117
fixed_start,5,5,50,5.24,0.0081
Knuth,5,5,50,4.46,2.8326
Random,5,5,100,4.68,0.0087
Greedy,5,5,100,5.69,0.0118
fixed_start,5,5,100,5.13,0.008
Knuth,5,5,100,4.42,3.0545
Random,3,6,10,4.2,0.0006
Greedy,3,6,10,5.4,0.0008
fixed_start,3,6,10,4.9,0.0006
Knuth,3,6,10,4.7,0.0527
Random,3,6,50,4.42,0.0006
Greedy,3,6,50,5.18,0.0008
fixed_start,3,6,50,4.54,0.0006
Knuth,3,6,50,4.48,0.0548
Random,3,6,100,4.11,0.0006
Greedy,3,6,100,5.5,0.0009
fixed_start,3,6,100,4.7,0.0006
Knuth,3,6,100,4.64,0.0597
Random,4,6,10,4.1,0.0037
Greedy,4,6,10,5.8,0.0051
fixed_start,4,6,10,4.7,0.0034
Knuth,4,6,10,4.5,0.9113
Random,4,6,50,4.7,0.0036
Greedy,4,6,50,5.9,0.0051
fixed_start,4,6,50,5.18,0.0034
Knuth,4,6,50,4.66,0.9267
Random,4,6,100,4.81,0.0036
Greedy,4,6,100,5.91,0.0051
fixed_start,4,6,100,5.13,0.0035
Knuth,4,6,100,4.65,0.8936
Random,5,6,10,5.2,0.0235
Greedy,5,6,10,6.4,0.0316
fixed_start,5,6,10,5.8,0.0208
Knuth,5,6,10,4.7,22.2532
Random,5,6,50,5.18,0.0225
Greedy,5,6,50,6.16,0.0301
fixed_start,5,6,50,5.48,0.0204
Knuth,5,6,50,4.8,21.9015
